ID,Name,Type,Buy,Sell,Weight,Attack,Defense,Slots,Refineable
501,Red Potion,Healing,50,25,7.0,0,0,0,Yes
502,Orange Potion,Healing,200,100,10.0,0,0,0,Yes
503,Yellow Potion,Healing,550,275,13.0,0,0,0,Yes
504,White Potion,Healing,"1,200",600,15.0,0,0,0,Yes
505,Blue Potion,Healing,"7,000","3,000",15.0,0,0,0,Yes
506,Green Potion,Healing,40,20,7.0,0,0,0,Yes
507,Red Herb,Healing,18,9,3.0,0,0,0,Yes
508,Yellow Herb,Healing,40,20,5.0,0,0,0,Yes
509,White Herb,Healing,120,60,7.0,0,0,0,Yes
510,Blue Herb,Healing,60,30,7.0,0,0,0,Yes
511,Green Herb,Healing,10,5,3.0,0,0,0,Yes
512,Apple,Healing,15,7,2.0,0,0,0,Yes
513,Banana,Healing,15,7,2.0,0,0,0,Yes
514,Grape,Healing,"1,500",750,2.0,0,0,0,Yes
515,Carrot,Healing,15,7,2.0,0,0,0,Yes
516,Potato,Healing,15,7,2.0,0,0,0,Yes
517,Meat,Healing,50,25,15.0,0,0,0,Yes
518,Honey,Healing,500,250,10.0,0,0,0,Yes
519,Milk,Healing,25,12,3.0,0,0,0,Yes
520,Hinalle Leaflet,Healing,150,75,1.0,0,0,0,Yes
521,Aloe Leaflet,Healing,360,180,2.0,0,0,0,Yes
522,Mastela Fruit,Healing,"8,500","4,250",3.0,0,0,0,Yes
523,Holy Water,Healing,20,10,3.0,0,0,0,Yes
525,Panacea,Healing,500,250,10.0,0,0,0,Yes
526,Royal Jelly,Healing,"7,000","3,500",15.0,0,0,0,Yes
528,Monster's Feed,Healing,60,30,15.0,0,0,0,Yes
529,Candy,Healing,10,5,3.0,0,0,0,Yes
530,Candy Cane,Healing,20,10,4.0,0,0,0,Yes
531,Apple Juice,Healing,20,10,4.0,0,0,0,Yes
532,Banana Juice,Healing,20,10,4.0,0,0,0,Yes
533,Grape Juice,Healing,250,125,4.0,0,0,0,Yes
534,Carrot Juice,Healing,20,10,4.0,0,0,0,Yes
535,Pumpkin,Healing,15,7,2.0,0,0,0,Yes
536,Ice Cream,Healing,150,75,8.0,0,0,0,Yes
537,Pet Food,Healing,"1,000",500,1.0,0,0,0,Yes
538,Well-baked Cookie,Healing,"1,000",500,3.0,0,0,0,Yes
539,Piece of Cake,Healing,"3,000","1,500",10.0,0,0,0,Yes
540,Falcon Food,Healing,"2,000","1,000",5.0,0,0,0,Yes
541,PecoPeco Food,Healing,"3,000","1,500",5.0,0,0,0,Yes
544,Raw Fish,Healing,20,10,3.0,0,0,0,Yes
545,Condensed Red Potion,Healing,150,75,2.0,0,0,0,Yes
546,Condensed Yellow Potion,Healing,600,300,3.0,0,0,0,Yes
547,Condensed White Potion,Healing,"1,650",825,2.0,0,0,0,Yes
548,Cheese,Healing,"2,800","1,400",5.0,0,0,0,Yes
549,Yam,Healing,180,90,8.0,0,0,0,Yes
550,Rice Cake,Healing,10,5,1.0,0,0,0,Yes
551,Sushi,Healing,1,0,5.0,0,0,0,Yes
552,Ketupat,Healing,1,0,1.0,0,0,0,Yes
553,Bao,Healing,1,0,5.0,0,0,0,Yes
554,Mochi,Healing,400,200,8.0,0,0,0,Yes
555,Traditional Rice Cake,Healing,100,50,2.0,0,0,0,Yes
556,Rice Cake Stick,Healing,10,5,1.0,0,0,0,Yes
557,Neatly Sliced Rice Cake,Healing,10,5,1.0,0,0,0,Yes
558,Chocolate,Healing,1,0,2.0,0,0,0,Yes
559,Hand-made Chocolate,Healing,1,0,8.0,0,0,0,Yes
560,Handmade White Chocolate,Healing,"5,000","2,500",8.0,0,0,0,Yes
561,White Chocolate,Healing,"5,000","2,500",8.0,0,0,0,Yes
562,Doublecrust Swiss Fondue,Healing,100,50,15.0,0,0,0,Yes
563,Doublecrust Swiss Fondue,Healing,"1,200",600,15.0,0,0,0,Yes
564,Rice Ball,Healing,1,0,3.0,0,0,0,Yes
565,Vita500,Healing,580,290,10.0,0,0,0,Yes
566,Tom Yum Goong,Healing,"10,000","5,000",15.0,0,0,0,Yes
567,Shrimp,Healing,500,250,4.0,0,0,0,Yes
568,Lemon,Healing,60,30,4.0,0,0,0,Yes
569,Novice Potion,Healing,0,0,1.0,0,0,0,Yes
570,Lucky Candy,Healing,10,5,3.0,0,0,0,Yes
571,Lucky Candy Cane,Healing,20,10,4.0,0,0,0,Yes
572,Lucky Cookie,Healing,"1,000",500,3.0,0,0,0,Yes
573,Chocolate Drink,Healing,"7,000","3,500",15.0,0,0,0,Yes
574,Egg,Healing,20,10,3.0,0,0,0,Yes
575,2nd Anniversary Cake,Healing,10,5,10.0,0,0,0,Yes
576,Prickly Fruit,Healing,540,270,6.0,0,0,0,Yes
577,Bag of Grain,Healing,200,100,2.0,0,0,0,Yes
578,Strawberry,Healing,200,100,2.0,0,0,0,Yes
579,Fresh Fish,Healing,250,125,2.0,0,0,0,Yes
580,Bread,Healing,150,75,2.0,0,0,0,Yes
581,Edible Mushroom,Healing,40,20,2.0,0,0,0,Yes
582,Orange,Healing,300,150,2.0,0,0,0,Yes
583,Ketupat Sayur,Healing,"7,000","3,500",15.0,0,0,0,Yes
584,Fish Cake Soup,Healing,100,50,6.0,0,0,0,Yes
585,Wurst,Healing,2,1,4.0,0,0,0,Yes
586,Mother's Cake,Healing,20,10,10.0,0,0,0,Yes
587,Red Prickly Fruit,Healing,880,440,6.0,0,0,0,Yes
588,Spaghetti,Healing,100,50,10.0,0,0,0,Yes
589,Pizza,Healing,"1,200",600,15.0,0,0,0,Yes
590,Pretzel,Healing,2,1,2.0,0,0,0,Yes
591,Caviar Pancake,Healing,0,0,15.0,0,0,0,Yes
592,Jam Pancake,Healing,0,0,15.0,0,0,0,Yes
593,Honey Pancake,Healing,0,0,15.0,0,0,0,Yes
594,Sour-Cream Pancake,Healing,0,0,15.0,0,0,0,Yes
595,Mushroom Pancake,Healing,0,0,15.0,0,0,0,Yes
596,Cute Strawberry-Choco,Healing,20,10,10.0,0,0,0,Yes
597,Lovely Choco-Tart,Healing,20,10,10.0,0,0,0,Yes
598,Light Red Potion,Healing,50,25,1.0,0,0,0,Yes
599,Light Orange Potion,Healing,200,100,1.0,0,0,0,Yes
601,Fly Wing,Usable,60,30,5.0,0,0,0,Yes
602,Butterfly Wing,Usable,300,150,5.0,0,0,0,Yes
603,Old Blue Box,Usable,"10,000","5,000",20.0,0,0,0,Yes
604,Dead Branch,Usable,50,25,5.0,0,0,0,Yes
605,Anodyne,Usable,"2,000","1,000",10.0,0,0,0,Yes
606,Aloevera,Usable,"1,500",750,10.0,0,0,0,Yes
607,Yggdrasil Berry,Healing,"5,000","2,500",30.0,0,0,0,Yes
608,Yggdrasil Seed,Healing,"5,000","2,500",30.0,0,0,0,Yes
609,Amulet,Usable,100,50,10.0,0,0,0,Yes
610,Yggdrasil Leaf,Usable,"4,000","2,000",10.0,0,0,0,Yes
611,Magnifier,Usable,40,20,5.0,0,0,0,Yes
612,Mini Furnace,Usable,150,75,20.0,0,0,0,Yes
613,Iron Hammer,Usable,"1,000",500,20.0,0,0,0,Yes
614,Golden Hammer,Usable,"3,000","1,500",30.0,0,0,0,Yes
615,Oridecon Hammer,Usable,"5,000","2,500",40.0,0,0,0,Yes
616,Old Card Album,Usable,"10,000","5,000",5.0,0,0,0,Yes
617,Old Purple Box,Usable,"10,000","5,000",20.0,0,0,0,Yes
618,Worn Out Scroll,Usable,50,25,2.0,0,0,0,Yes
619,Unripe Apple,Usable,"1,000",500,5.0,0,0,0,Yes
620,Orange Juice,Usable,"1,500",750,5.0,0,0,0,Yes
621,Bitter Herb,Usable,20,10,5.0,0,0,0,Yes
622,Rainbow Carrot,Usable,"2,500","1,250",5.0,0,0,0,Yes
623,Earthworm the Dude,Usable,"4,000","2,000",5.0,0,0,0,Yes
624,Rotten Fish,Usable,"2,500","1,250",5.0,0,0,0,Yes
625,Rusty Iron,Usable,100,50,5.0,0,0,0,Yes
626,Monster Juice,Usable,"1,500",750,5.0,0,0,0,Yes
627,Sweet Milk,Usable,"7,000","3,500",5.0,0,0,0,Yes
628,Well-Dried Bone,Usable,"10,000","5,000",5.0,0,0,0,Yes
629,Singing Flower,Usable,300,150,5.0,0,0,0,Yes
630,Dew Laden Moss,Usable,10,5,5.0,0,0,0,Yes
631,Deadly Noxious Herb,Usable,20,10,5.0,0,0,0,Yes
632,Fatty Chubby Earthworm,Usable,"5,000","2,500",5.0,0,0,0,Yes
633,Sweet Potato,Usable,20,10,5.0,0,0,0,Yes
634,Tropical Banana,Usable,20,10,5.0,0,0,0,Yes
635,Orc Trophy,Usable,300,150,5.0,0,0,0,Yes
636,No Recipient,Usable,100,50,5.0,0,0,0,Yes
637,Old Broom,Usable,350,175,5.0,0,0,0,Yes
638,Silver Knife of Chastity,Usable,"12,000","6,000",5.0,0,0,0,Yes
639,Armlet of Obedience,Usable,"18,000","9,000",5.0,0,0,0,Yes
640,Shining Stone,Usable,"3,000","1,500",5.0,0,0,0,Yes
641,Contract in Shadow,Usable,100,50,5.0,0,0,0,Yes
642,Book of the Devil,Usable,"1,800",900,5.0,0,0,0,Yes
643,Pet Incubator,Usable,"3,000","1,500",3.0,0,0,0,Yes
644,Gift Box,Usable,"1,000",500,20.0,0,0,0,Yes
645,Concentration Potion,Usable,800,400,10.0,0,0,0,Yes
656,Awakening Potion,Usable,"1,500",750,15.0,0,0,0,Yes
657,Berserk Potion,Usable,"3,000","1,500",20.0,0,0,0,Yes
658,Union of Tribe,Usable,2,1,50.0,0,0,0,Yes
659,Her Heart,Usable,500,250,5.0,0,0,0,Yes
660,Forbidden Red Candle,Usable,"20,000","10,000",5.0,0,0,0,Yes
661,Soft Apron,Usable,"20,000","10,000",5.0,0,0,0,Yes
662,Authoritative Badge,Usable,"1,450",725,3.0,0,0,0,Yes
663,Korean Rice Cake,Healing,1,0,1.0,0,0,0,Yes
664,Gift Box,Usable,"1,000",500,20.0,0,0,0,Yes
665,Gift Box,Usable,"1,000",500,20.0,0,0,0,Yes
666,Gift Box,Usable,"1,000",500,20.0,0,0,0,Yes
667,Gift Box,Usable,"1,000",500,20.0,0,0,0,Yes
668,Red Envelope,Usable,0,0,2.0,0,0,0,Yes
669,Tempting Rice-Cake Soup,Healing,500,250,10.0,0,0,0,Yes
670,Bag of Gold Coins,Etc,"100,000","50,000",500.0,0,0,0,Yes
671,Gold Roulette Coin,Usable,0,0,0.0,0,0,0,Yes
672,Bag of Bronze Coins,Etc,"1,000",500,40.0,0,0,0,Yes
673,Bronze Coin,Etc,100,50,4.0,0,0,0,Yes
674,Mithril Coin,Etc,"5,000","2,500",4.0,0,0,0,Yes
675,Silver Roulette Coin,Usable,0,0,0.0,0,0,0,Yes
676,Bag of Silver Coins,Etc,"50,000","25,000",40.0,0,0,0,Yes
677,Platinum Coin,Etc,"2,000","1,000",4.0,0,0,0,Yes
678,Poison Bottle,Usable,"5,000","2,500",10.0,0,0,0,Yes
679,Pilule,Usable,"5,000","2,500",30.0,0,0,0,Yes
680,Magic Carnation,Healing,0,0,100.0,0,0,0,Yes
681,Sweet Memory of Marriage,Usable,"50,000","25,000",1.0,0,0,0,Yes
682,Distilled Fighting Spirit,Usable,0,0,10.0,0,0,0,Yes
683,Herb of Incantation,Usable,0,0,5.0,0,0,0,Yes
684,Durian,Usable,"15,000","7,500",30.0,0,0,0,Yes
685,Ramadan,Healing,"5,000","2,500",30.0,0,0,0,Yes
686,Level 3 Earth Spike,Usable,"1,000",500,1.0,0,0,0,Yes
687,Level 5 Earth Spike,Usable,"2,000","1,000",1.0,0,0,0,Yes
688,Level 3 Cold Bolt,Usable,"1,000",500,1.0,0,0,0,Yes
689,Level 5 Cold Bolt,Usable,"2,000","1,000",1.0,0,0,0,Yes
690,Level 3 Fire Bolt,Usable,"1,000",500,1.0,0,0,0,Yes
691,Level 5 Fire Bolt,Usable,"2,000","1,000",1.0,0,0,0,Yes
692,Level 3 Lightening Bolt,Usable,"1,000",500,1.0,0,0,0,Yes
693,Level 5 Lightening Bolt,Usable,"2,000","1,000",1.0,0,0,0,Yes
694,Level 3 Soul Strike,Usable,"1,000",500,1.0,0,0,0,Yes
695,Level 5 Soul Strike,Usable,"2,000","1,000",1.0,0,0,0,Yes
696,Level 1 Fire Ball,Usable,"1,000",500,1.0,0,0,0,Yes
697,Level 5 Fire Ball,Usable,"2,000","1,000",1.0,0,0,0,Yes
698,Level 1 Fire Wall,Usable,"1,000",500,1.0,0,0,0,Yes
699,Level 5 Fire Wall,Usable,"2,000","1,000",1.0,0,0,0,Yes
700,Level 1 Frost Diver,Usable,"1,000",500,1.0,0,0,0,Yes
701,Ora Ora,Etc,"55,000","27,500",20.0,0,0,0,Yes
702,Animal Gore,Etc,450,225,10.0,0,0,0,Yes
703,Hinalle,Etc,500,250,1.0,0,0,0,Yes
704,Aloe,Etc,500,250,1.0,0,0,0,Yes
705,Clover,Etc,10,5,1.0,0,0,0,Yes
706,Four Leaf Clover,Etc,"80,000","40,000",1.0,0,0,0,Yes
707,Singing Plant,Etc,500,250,1.0,0,0,0,Yes
708,Ment,Etc,500,250,1.0,0,0,0,Yes
709,Izidor,Etc,500,250,1.0,0,0,0,Yes
710,Illusion Flower,Etc,"1,000",500,1.0,0,0,0,Yes
711,Shoot,Etc,16,8,1.0,0,0,0,Yes
712,Flower,Etc,2,1,1.0,0,0,0,Yes
713,Empty Bottle,Etc,6,3,2.0,0,0,0,Yes
714,Emperium,Etc,2,1,100.0,0,0,0,Yes
715,Yellow Gemstone,Etc,600,300,3.0,0,0,0,Yes
716,Red Gemstone,Etc,600,300,3.0,0,0,0,Yes
717,Blue Gemstone,Etc,600,300,3.0,0,0,0,Yes
718,Garnet,Etc,"6,000","3,000",10.0,0,0,0,Yes
719,Amethyst,Etc,"6,000","3,000",10.0,0,0,0,Yes
720,Aquamarine,Etc,"6,000","3,000",10.0,0,0,0,Yes
721,Emerald,Etc,"6,000","3,000",10.0,0,0,0,Yes
722,Pearl,Etc,"6,000","3,000",10.0,0,0,0,Yes
723,Ruby,Etc,"6,000","3,000",10.0,0,0,0,Yes
724,Cursed Ruby,Etc,600,300,10.0,0,0,0,Yes
725,Sardonyx,Etc,"6,000","3,000",10.0,0,0,0,Yes
726,Sapphire,Etc,"6,000","3,000",10.0,0,0,0,Yes
727,Opal,Etc,"6,000","3,000",10.0,0,0,0,Yes
728,Topaz,Etc,"6,000","3,000",10.0,0,0,0,Yes
729,Zircon,Etc,"6,000","3,000",10.0,0,0,0,Yes
730,1carat Diamond,Etc,"10,000","5,000",10.0,0,0,0,Yes
731,2carat Diamond,Etc,"25,000","12,500",10.0,0,0,0,Yes
732,3carat Diamond,Etc,"55,000","27,500",10.0,0,0,0,Yes
733,Cracked Diamond,Etc,10,5,10.0,0,0,0,Yes
734,Red Frame,Etc,"3,000","1,500",20.0,0,0,0,Yes
735,Chung Jah,Etc,"5,000","2,500",50.0,0,0,0,Yes
736,China,Etc,"1,000",500,30.0,0,0,0,Yes
737,Black Ladle,Etc,400,200,5.0,0,0,0,Yes
738,Pencil Case,Etc,400,200,10.0,0,0,0,Yes
739,Rouge,Etc,"10,000","5,000",1.0,0,0,0,Yes
740,Puppet,Etc,"1,000",500,10.0,0,0,0,Yes
741,Poring Doll,Etc,"1,800",900,10.0,0,0,0,Yes
742,Chonchon Doll,Etc,"3,000","1,500",10.0,0,0,0,Yes
743,Spore Doll,Etc,"5,500","2,750",10.0,0,0,0,Yes
744,Bouquet,Etc,"2,000","1,000",5.0,0,0,0,Yes
745,Wedding Bouquet,Etc,"12,000","6,000",5.0,0,0,0,Yes
746,Glass Bead,Etc,"1,400",700,5.0,0,0,0,Yes
747,Crystal Mirror,Etc,"13,000","6,500",5.0,0,0,0,Yes
748,Witherless Rose,Etc,"15,000","7,500",1.0,0,0,0,Yes
749,Frozen Rose,Etc,"29,000","14,500",1.0,0,0,0,Yes
750,Baphomet Doll,Etc,"18,000","9,000",10.0,0,0,0,Yes
751,Osiris Doll,Etc,"14,000","7,000",10.0,0,0,0,Yes
752,Rocker Doll,Etc,"4,000","2,000",10.0,0,0,0,Yes
753,Yoyo Doll,Etc,"6,000","3,000",10.0,0,0,0,Yes
754,Raccoon Doll,Etc,"5,000","2,500",10.0,0,0,0,Yes
756,Rough Oridecon,Etc,550,275,20.0,0,0,0,Yes
757,Rough Elunium,Etc,650,325,20.0,0,0,0,Yes
901,Daenggie,Etc,260,130,1.0,0,0,0,Yes
902,Tree Root,Etc,12,6,1.0,0,0,0,Yes
903,Reptile Tongue,Etc,140,70,1.0,0,0,0,Yes
904,Scorpion Tail,Etc,124,62,1.0,0,0,0,Yes
